hotspot_id,weather_id,observed_at,confidence_raw,temperature,humidity,wind_speed,precipitation,temp_avg_24h,rain_sum_3d,humidity_trend,heat_index,drought_index,wind_effect,fwi,fire
1,1,2026-04-05T13:26:20.230619,n,15.13,58.0,6.53,0.0,15.13,0.0,0.0,20.93,0.92,2.7426,6.666,1
1,2,2026-04-05T21:55:03.793975,n,12.13,65.0,3.94,0.0,13.63,0.0,0.8256,18.63,0.85,1.379,4.961,1
1,5,2026-04-10T07:59:14.731767,n,8.76,66.0,1.98,0.0,8.76,0.0,0.0,15.36,0.84,0.6732,3.358,1
1,334,2026-04-10T10:51:33.698130,n,9.82,68.0,3.4,0.0,9.29,0.0,0.6964,16.62,0.82,1.088,4.094,1
1,654,2026-04-10T13:27:40.739233,n,7.66,81.0,4.69,0.0,8.7467,0.0,2.7051,15.76,0.69,0.8911,3.781,1
1,974,2026-04-10T14:32:50.640328,n,8.76,71.0,1.35,0.0,8.75,0.0,1.5047,15.86,0.79,0.3915,3.149,1
1,1294,2026-04-10T15:48:59.944574,n,8.76,66.0,2.43,0.0,8.752,0.0,0.5264,15.36,0.84,0.8262,3.493,1
1,1614,2026-04-10T17:40:38.159322,n,8.16,68.0,4.88,0.0,8.6533,0.0,0.1688,14.96,0.82,1.5616,4.04,1
1,1932,2026-04-10T19:42:41.265633,n,7.43,74.0,3.4,0.0,8.4786,0.0,0.3353,14.83,0.76,0.884,3.353,1
1,2255,2026-04-10T21:08:36.197968,n,5.35,87.0,3.5,0.0,8.0875,0.0,0.9558,14.05,0.63,0.455,2.707,1
1,2474,2026-04-10T22:29:58.598711,n,5.47,87.0,2.87,0.0,7.7967,0.0,1.2161,14.17,0.63,0.3731,2.554,1
1,2799,2026-04-11T00:14:06.945340,n,4.86,100.0,2.16,0.0,7.503,0.0,1.6917,14.86,0.5,0.0,2.106,1
1,3118,2026-04-11T03:16:01.172581,n,4.86,93.0,2.67,0.0,7.2627,0.0,1.6499,14.16,0.57,0.1869,2.287,1
1,3441,2026-04-11T06:18:59.401787,n,7.66,71.0,2.99,0.0,7.2958,0.0,0.9919,14.76,0.79,0.8671,3.311,1
1,3765,2026-04-11T09:20:18.447123,n,9.86,66.0,2.23,0.0,7.3875,0.0,0.3589,16.46,0.84,0.7582,3.763,1
1,4342,2026-04-11T12:38:43.521222,n,11.57,58.0,1.84,0.0,7.5333,0.0,-0.3118,17.37,0.92,0.7728,4.191,1
1,4693,2026-04-11T13:59:04.342944,n,12.06,66.0,0.87,0.0,7.9,0.0,-0.4055,18.66,0.84,0.2958,4.015,1
1,5042,2026-04-11T16:59:51.841153,n,11.57,43.0,4.42,0.0,8.0773,0.0,-1.3697,15.87,1.07,2.5194,5.025,1
